214390168,sale4
214386484,price3
214390067,price1
214390445,sale1
217818520,time1
214381886,sale4
214387161,time2
212349704,price1
214387360,sale4
212352863,price2
214387528
214389171
214389302
214383280
214389557
214390016
214390600
214391380
214391465
214391550
214391635
214405415
214765681
220831756
221959067
221959068,sale4
